,bulan,jumlah
1,2020-01,33472
2,2020-02,31679
3,2020-03,22949
4,2020-04,5813
5,2020-05,5476
6,2020-06,9272
7,2020-07,12205
8,2020-08,12679
9,2020-09,11295
10,2020-10,11768
11,2020-11,13523
12,2020-12,13262
